business name,address,external link,phone number,industry,additional_info,emails,business hours,teaser
Danny's Automotive,"10265 Folsom Blvd Rancho Cordova, CA 95670",,(916) 368-7581,Automotive,Automotive Repair,[],,
Neely Automotive,"980 5th St Arcata, CA 95521",,(707) 826-0687,Automotive,"Automotive Repair, Brake Repair, Engine Repair, Auto Parts & Accessories",[],Business Hours: Mon-Fri 8am-5pm,
Taskers Automotive,"1806 E Vista Way Vista, CA 92084",,(760) 724-2186,Automotive,"Brake Repair, Engine Repair, Oil Changes, Automotive Repair, Auto Parts & Accessories, Muffler Repair, Tires, Tune Ups",[],Business Hours: Monday: 9:00 AM - 5:00 PM; Tuesday: 9:00 AM - 5:00 PM; Wednesday: 9:00 AM - 5:00 PM; Thursday: 9:00 AM - 5:00 PM; Friday: 9:00 AM - 5:00 PM; Saturday: By Appt.; Sunday: By Appt.,
Vazquez Automotive,"9607 Santa Fe Springs Rd Santa Fe Springs, CA 90670",,(562) 946-5858,Automotive,"Automotive Repair, General Merchandise Stores, Engine Repair",[],,
Lancer Automotive,"8151 W 3rd St Los Angeles, CA 90048",,(323) 653-1100,Automotive,"Oil Changes, Used Car Dealers, Clutch Repair, Radiator Repair, Brake Repair, Tires & Wheels, Auto Parts & Accessories, Tune Ups, Muffler Repair, Tires, Automotive Sales & Services, Truck Repair",[],"Business Hours: Mon 7:30-17:30, Tue 7:30-17:30, Wed 7:30-17:30, Thu 7:30-17:30, Fri 7:30-17:30, Sat closed, Sun closed",
Alcala's Automotive,"700 N Anaheim Blvd Anaheim, CA 92805",,(714) 535-2001,Automotive,Automotive Repair,[],Business Hours: Mon-Sat 8am-6pm,
Xlr8 Automotive,"110 Flocchini Cir Ste 800 Lincoln, CA 95648",,(916) 253-9413,Automotive,Automotive Repair,[],,
Guy's Automotive,"4151 Marine Ave Lawndale, CA 90260",,(310) 644-3363,Automotive,Automotive Repair,[],,
Skinny's Automotive,"3410 Fruitvale Ave Ste D Bakersfield, CA 93308",,(661) 588-5394,Automotive,"Auto Parts & Accessories, Brake Repair, Transmission Repair, Automotive Repair",[],,
Classic Automotive,"15232 Arrow Hwy Ste C Baldwin Park, CA 91706",,(626) 939-9193,Automotive,"Wholesale Auto Parts, Wholesale Automotive, Auto Body Equipment Manufacturers",[],,
Master Automotive,"13955 Poway Rd Ste B Poway, CA 92064",,(858) 748-1500,Automotive,Automotive Repair,[],"Business Hours: Mon - Sat, 8am - 6pm; Sun, closed",
Continental Automotive,"3424 N San Fernando Rd Ste 2 Los Angeles, CA 90065",,(818) 822-1010,Automotive,"Used Car Dealers, Automotive Repair",[],,
Alta Automotive,"233 E Kern St Dinuba, CA 93618",,(559) 591-3518,Automotive,Automotive Repair,[],,
Anthonys Automotive,"1072 Machin Ave Novato, CA 94945",,(724) 282-0690,Automotive,"Auto Parts & Accessories, Automotive Repair, Auto Diagnostics",[],"Business Hours: Mon - Fri, 8am - 5pm; Sat, Sun, closed",
Creative Automotive,"216 Stockton Ave Santa Cruz, CA 95060",,(707) 794-0094,Automotive,Automotive Repair,[],,
Dubarr Automotive,"17571 Griffin Ln Ste B Huntington Beach, CA 92647",,(714) 375-0991,Automotive,"New Car Dealers, Automotive Repair",[],,
Felipe's Automotive,"7401 S Union Ave Bakersfield, CA 93307",,(661) 837-8096,Automotive,Automotive Repair,[],,
Cj's Automotive,"3150 State Highway 32 Ste D Chico, CA 95973",,(530) 892-9108,Automotive,Automotive Repair,[],Business Hours: Mon-Fri 9am-5pm,
Genesis Automotive,"1920 E Walnut St Ste 3 Pasadena, CA 91107",,(626) 568-0718,Automotive,Automotive Repair,[],Business Hours: Mon-Fri 8am-5pm,
Rigo's Automotive,"1625 Pacific Ave Ste 163 Oxnard, CA 93033",,(805) 487-1159,Automotive,Automotive Repair,[],"Business Hours: Mon-Fri 8am-6pm, Sat 8am-5pm",
Grama Automotive,"6529 32nd St Ste 12 North Highlands, CA 95660",,(916) 705-3630,Automotive,Automotive Repair,[],,
Bidwell Automotive,"516 E Bidwell St Folsom, CA 95630",https://apis.elocal.com/tracker/track?q=65273d091c2c9ca1c2c76b379ddc29fd02d3f660c0c2538343341f7bc7ac81ca142e1e7fbf41de81af029bcbbb3f0a8e254fe8b5194bb7317e0ed15394cefea9030d5d594fd884c3aa079c82a952ecd5e516e73f9e748bc5118cbe957d5f3eb34357267919de5c294328536447192dd1ed4da5d3b6254b523eaef9218a4fe309952e2acc1e525c08fbf440c5f0ebaa08a366333562509eed1caf5fcb7323a9a78e2a828f33b15159026ef7a6248dc8eb45a151b3d092d2fa7a337635d17c5c53d52543af1871e93c897d481f894a93f15ae5b5657e79ae4ebb5346a21ec23698bfcc02bcc08a38b98eabe91d9c9209921b5af982e88ccf25ce7dce48010e3c527a7982ae6124813835de6d807c118c5f0fc00588dd115860da86e456c87936326acc00d1f823fb7f3a0e8cab3385436b84ecd544e1b8ec87f0bd238e2ca16debdf5b68ae0cbc953267c7958fa35579f60ce07daab0da74e63ce240ded5fa64957b41d1f3b716e1de7e9ea3a8fb409c0ba88bcd0c37242d2028b6f756e3d4df0b6d5f49a79fc51cfc19e9fe35324a15e41029bbf4a7886bd6045be585fcbd89e0fb279c630f1b3a0809a306de40873ab8d6f4428de2c60bcde0074c14c828bff35973098f7c83f0971b5fb42a3ac3691d1aca80b087207cfdf9e9e3bb750fc824e6ea8c83a45e02ebfa669915f4f13b545f72e74ad7eb3648a1a7620caeddd86a0b032907caace2774a2c429366619738ce817ee2c67abb62b6059231e8cef4337d1544435a7f56d89f097dd4daf22ed49972709c7ad90721c5ed264d0011157297f429d8c637075402168a1bd2d8773ba9961831acd8e5029e6e06f2eb3a2348d1197c0bb50dbdf0e101f2274b09cfdef663996d66df83fdd95aed7d00616aa0828f95b8fc9abd1d76d79fac1b69d8e70c90a104b4db2c8e9a7f767d2d111ded4af1c275101c2881bf1190550ca8fb97,(916) 542-1252,Automotive,"Bidwell Automotive & Tire provides quality car care in Folsom, CA. We are a family-owned business delivering honest and professional automotive repair and auto maintenance services to the people of Folsom and surrounding areas. The quality ASE (Automotive Service Excellence) certified technicians at Bidwell Automotive & Tire employ todays latest automotive technology and are equipped to handle all major and minor repairs on foreign and domestic vehicles.",[],,
Strong Automotive,"11114 Rhyolite Dr Redding, CA 96003",https://apis.elocal.com/tracker/track?q=bae1f89f50e11680ddb8fef324b2669c27aa842377e6ff47a32d376485b35be0b16b5f211d6750f03ec0af2b79349786b2b0c9879da3135b657ef8767f35227fa1da7df180606fd756caf3100f806fff0216fc44fe0067a524d0799b5b678b4834caa1fd4c0e976fcb8da503809be1f83f9589ca87f979443569bcfe5523d73871be3b165c84d3cdac5585d2dc197f4dcf8c966301df99b255c14bf6dd8198ebc1422769b625e081b3d9f2662d25a2398d69c5aa356cfe03c91d0a8e3ea4b401e541ad42a53bf91a62f242ffd5958f8e07bc311d00f5fc39dfb0ecceb0de175a22e211fe75fae1092c32c79fade2a8b0a3a67577970ce6a149db4586dc7085c06bb50d3d0cfa65a755b39f738fb40d5cae38a9725f0be81077d4acda57051e3d3f4d19b420a662bb357a837c98e2343c81fb0fcd3c20a9aa14bbac4f7a8a12525c4e7f091ab43ba02cd1009043e083d07fe358d6d0986a2db85c266ee3ec273fa8f35127a0303afb2c2a6f15b2b48f4c64a28f0edf743db04b0c57d3182eff0c6865a7ce4c3063a8fb99f1448907c58c3644601759389f204c24ed3b60bb89fecd4223386eba0fd26e7ffcbea84eee2e159c9a12c2ef1c82acb0d961e293074e4ae57ca15e0dd8d36e5c610bea6e99ea4fa9dbf980d5b33cc71c49d5b5969369d9e018f66e18d0f4810ebb3d165c1c49c52be7b6c563e03f06460054a4b7ca332f5037ed892bcd1c1d42fef8fa30cb1c10322cfd81749a884101a19b393f2e93ac6a2adc7845d8a9ece08300a67a099fca10aae36f1a033bc94fd9ae844925a679b9ea5806507579d317ef4725f6510005d384d4cea487fa5b01799e9b2367c63cc4d8428aec146974ce150032e2242c38d0eaae65fe27bbbb1cf0f788d593efc9bcf4c7d14e1df1da8c2b171dc4aac72f0ebda12a0e0c7c7d016cadb75329d81c9b9da1b715a457ac988dc94387b8fb,(530) 243-5878,Automotive,"At Strong Automotive, we are committed to quality service you can rely on to keep your car running well. We bring more than 30 years of combined experience to the field. We have ASE certified technicians, which means your car is in great hands and will leave our shop running better than eve",[],,STRONG AUTOMOTIVE...Your strong vehicle solution
Corner Automotive,"14855 Magnolia Blvd Sherman Oaks, CA 91403",,(818) 616-1372,Automotive,Automotive Repair,[],,
Evan's Automotive,"2177 Harbor Blvd # B Costa Mesa, CA 92627",,(949) 348-8498,Automotive,Automotive Repair,[],,
Adna's Automotive,"1343 Marsten Rd Burlingame, CA 94010",,(650) 372-5889,Automotive,"Unclassified, Automotive Repair",[],"Business Hours: Mon-Fri 8am-5pm, Sat 9am-5pm",
Jake's Automotive,"8270 Monroe Ave Stanton, CA 90680",,(714) 527-0381,Automotive,Automotive Repair,[],,
Emanuel Automotive,"109 S Clark St Visalia, CA 93292",,(559) 409-2133,Automotive,Automotive Repair,[],,
Reeds Automotive,"57 Taylor Ct Thousand Oaks, CA 91360",,(805) 374-9221,Automotive,Automotive Sales & Services,[],,
Imperial Automotive,"10261 Imperial Ave Cupertino, CA 95014",,(408) 996-1193,Automotive,Automotive Repair,[],"Business Hours: Mon - Sat: 9am - 6pm; Sun, closed",
Pete's Automotive,"3615 Madison Ave Ste A North Highlands, CA 95660",,(916) 349-2719,Automotive,Automotive Repair,[],,
Bullock Automotive,"1511 W Century Blvd Los Angeles, CA 90047",,(323) 755-7188,Automotive,"Brake Repair, Automotive Repair, Tires & Wheels, Wholesale Auto Parts",[],,
Embarcadero Automotive,"824 Ellis St San Francisco, CA 94109",,(415) 541-8500,Automotive,Automotive Repair,[],Business Hours: Mon-Fri 7:30am-6pm,
Julian's Automotive,"1305 W Magnolia Blvd Burbank, CA 91506",,(818) 846-7282,Automotive,Automotive Repair,[],,
Foothill Automotive,"377 E Foothill Blvd Pomona, CA 91767",,(909) 392-4661,Automotive,Automotive Repair,[],,
Tnt Automotive,"48 W Cross Ave Tulare, CA 93274",,(559) 688-7269,Automotive,Automotive Repair,[],,
Rydell Automotive,"600 San Fernando Rd San Fernando, CA 91340",,(818) 898-2380,Automotive,"New Car Dealers, Automotive Repair",[],,
Rogers Automotive,"5524 Scotts Valley Dr Scotts Valley, CA 95066",,(831) 438-3111,Automotive,Automotive Repair,[],,
Pete's Automotive,"1123 F St Los Banos, CA 93635",,(209) 826-1889,Automotive,"Machine Shops, Automotive Repair",[],,
All Automotive,"29 Lakeville St # A Petaluma, CA 94952",,(707) 765-3927,Automotive,Automotive Repair,[],,
Automotive Service,"4101 W Century Blvd Inglewood, CA 90304",,(310) 673-7932,Automotive,"Wholesale Diesel Fuel, Automotive Repair",[],,
Kellems Automotive,"1667 W Redlands Blvd Ste B Redlands, CA 92373",,(909) 798-6851,Automotive,"Clutch Repair, Automotive Repair, Automotive Sales & Services, Smog Testing",[],Business Hours: Monday - Friday 8:00 AM - 5:00 PM; Saturday 8:00 AM - 2:00 PM,
Moh Automotive,"11577 Sheldon St Sun Valley, CA 91352",,(818) 768-1712,Automotive,Automotive Repair,[],,
Exquisite Automotive,"3715 W Rosecrans Ave Hawthorne, CA 90250",,(424) 220-8575,Automotive,Automotive Repair,[],,
Automotive Clinic,"214 E 5th St Oxnard, CA 93030",,(805) 486-2807,Automotive,"Oil Changes, Automotive Repair",[],,
Ron's Automotive,"3175 E Foothill Blvd Pasadena, CA 91107",,(626) 460-8314,Automotive,Automotive Repair,[],,
Original Automotive,"1949 Cavallo Rd Antioch, CA 94509",,(925) 756-6133,Automotive,Automotive Repair,[],,
Downtown Automotive,"827 Industrial Dr Ste 105 Hollister, CA 95023",,(831) 637-4821,Automotive,"Used Car Dealers, Repair Shops, Tune Ups, Continental, Truck Repair, Automotive Sales & Services, Yokohama, Muffler Repair, Tires, Heating & Air Conditioning, Brake Repair, Tires & Wheels, Diesel Fuel, Smog Testing, Clutch Repair, Computer Repair, Radiator Repair, Toyo, Automotive Repair, Auto Parts & Accessories, Oil Changes",[],"Business Hours: Mon-Fri 8:00 AM-5:00 PM,Sat-Sun Closed",
Rick's Automotive,"3725 Pine St Rocklin, CA 95677",,(916) 632-8230,Automotive,Automotive Repair,[],Business Hours: Mon-Fri 7:30am-5:30pm,
Murillo's Automotive,"14551 Main St # A Hesperia, CA 92345",,(760) 948-4662,Automotive,"Smog Testing, Automotive Repair",[],Business Hours: Mon-Sat 8am-5pm,
Neff Automotive,"3453 Cromwell Pl San Diego, CA 92116",,(619) 295-1898,Automotive,"Antique & Classic Car Dealers, Automotive Repair",[],,
Cromer Automotive,"2681 Cloverdale Ave Concord, CA 94518",,(925) 689-2264,Automotive,"Automotive Repair, Auto Parts & Accessories",[],,
Wondercar Automotive,"20 La Goma St Mill Valley, CA 94941",,(415) 388-7171,Automotive,"Toyo, Continental, Automotive Repair, Computer Repair, Oil Changes, Tires & Wheels, Used Car Dealers, Auto Parts & Accessories, Muffler Repair, Automotive Sales & Services, Yokohama, Truck Repair, Tune Ups, Clutch Repair, Tires, Heating & Air Conditioning, Brake Repair, Radiator Repair, Diesel Fuel, Smog Testing, Repair Shops",[],"Business Hours: Mon-Fri 8:00 AM-5:00 PM,Sat-Sun Closed",
Holmberg Automotive,"7731 Balboa Ave San Diego, CA 92111",,(858) 279-1010,Automotive,"Tune Ups, Smog Testing, Visa Accepted, Continental, GMC, Radiator Repair, Firestone, Ford, Automotive Sales & Services, Repair Shops, Propane, Jeep, Toyota, Tires, Clutch Repair, Oil Changes, Goodyear, Nissan, Mastercard Accepted, Brake Repair, Chevron, Heating & Air Conditioning, Volvo, Diesel Fuel, Chevrolet, Dodge, Mazda, BMW, Wholesale Liquid Gas, Computer Repair, Mercedes-Benz, Hyundai, Muffler Repair, Toyo, Used Car Dealers, Chrysler-Plymouth, Towing, Truck Repair, Auto Parts & Accessories, Yokohama, Engine Repair, Acura, Honda, Tires & Wheels, Lexus, Automotive Repair, Kia, Transmission Repair",[],"Business Hours: Mon-Fri 7:00 AM-5:00 PM,Sat 8:00 AM-11:00 AM,Sun Closed",
Jack's Automotive,"11132 Washington Pl Culver City, CA 90232",,(310) 313-1293,Automotive,"Mobil, Mastercard Accepted, General Merchandise Stores, Discover Accepted, Automotive Repair, American Express Accepted, Gas Stations, Visa Accepted",[],"Business Hours: Mon - Fri, 7:30am - 6pm; Sat, 8am - 2pm; Sun, closed",
Rod's Automotive,"2694 Monument Ct Ste B Concord, CA 94520",,(925) 689-7065,Automotive,"Automotive Repair, Wholesale Diesel Fuel",[],,
Tonys Automotive,"575 S Oleander Rd Palm Springs, CA 92264",,(760) 864-3256,Automotive,"Automotive Repair, Transmission Manufacturers, Auto Diagnostics, Auto Parts & Accessories, Brake Repair",[],,
Anto Automotive,"141 E Arrow Hwy Glendora, CA 91740",,(626) 963-1188,Automotive,Automotive Repair,[],"Business Hours: Mon - Fri, 8am - 5pm",
Worldwide Automotive,"4901 S Broadway Los Angeles, CA 90037",,(424) 232-2892,Automotive,Automotive Repair,[],,
Genuine Automotive,"3039 Monterey Hwy San Jose, CA 95111",,(408) 229-9959,Automotive,Automotive Repair,[],,
Anderson's Automotive,"2154 Arrow Hwy La Verne, CA 91750",,(909) 596-1300,Automotive,Automotive Repair,[],,
Don's Automotive,"2947 Obispo Ave Signal Hill, CA 90755",,(562) 490-9969,Automotive,"Brake Repair, Automotive Repair",[],"Business Hours: Mon-Fri 8am-5pm, Sat 8am-2pm",
Automotive Solutions,"26793 Madison Ave Ste 100 Murrieta, CA 92562",,(951) 894-1034,Automotive,Automotive Repair,[],,
Mandich Automotive,"5154 Auburn Blvd Sacramento, CA 95841",,(916) 487-2886,Automotive,Automotive Repair,[],,
Zeke's Automotive,"13306 Prairie Ave Hawthorne, CA 90250",,(310) 644-7305,Automotive,"Automotive Repair, Auto Parts & Accessories",[],,
Ervin's Automotive,"15542 Computer Ln # C Huntington Beach, CA 92649",,(714) 897-8959,Automotive,"Auto Parts & Accessories, Brake Repair, Transmission Repair, Automotive Repair, Wholesale Auto Parts",[],Business Hours: Mon-Fri 9am-5pm,
Donati Automotive,"3546 Santa Rosa Ave Ste C Santa Rosa, CA 95407",,(707) 703-4497,Automotive,Automotive Repair,[],,
Spectrum Automotive,"97 Louise St Ste B San Rafael, CA 94901",https://apis.elocal.com/tracker/track?q=098f42f8608afd8312b9c53be68104639dbfd8e43f9007d0eabee46f0f078465f7318682e71559dca2b7e3835100651ee2fb379440bd7da9762c1fee0cfae1d8d91a0bf7e08d52886505bf59b7d85b1dc5bbf64918fd89ce2eabb348106b94c65f82dd0c3742aa921054b89387cdc5a09b1f69a69eeb6949ae357451faaf2911f86b39e9f794d0e001676a7157e8a95742e97e4f985286d44aafa46068f27813668b0c8e3d4c768e5122c30ddf9492aaf95a3a5d28993a1915b6879e2b9fcad441059faba7fe6d9dc7941273dc9c9c9f27623f3cccaa10ed63da11d254a2fa43bb44a39a4a74eabb99bea0a0954f40387b74cab24a851e8fb0ae3a34c9f02bd4b569e8a1607f57f740a442bc2a1a5f4506452f268da86e0b318045c4d203c07eba26407f11024ea47db9020002074a0cfccb834bd516e1d5862889d5618960f884cd9666c3a77d66711d81278a59754e56e9f0ad28e5ba6fd37e7f89d3ede60326154082ac9ea5feb5374b23f362ae5c323eec41fdc1ad0c5c7167ef2b4f1fa18c55ed73720a3b4c3d21b51c03039acb4dc5807f7f8276fafd5d88d20b66295731f5b33eb76b0bf1108b9080dc8cc32830909c1a2211855331f66f145cf7b1fc1f7759df322f628f15bcd62cc7b0a0a6e03551cca320ccd1f7f4323a1e221186f7070812c835e34693341d447ee607bfa5f0f300dd1c20858763aaafbb8e56d8b4b679c01d39c900d3ad4ff354e52804acd7e654b685dd62f58f1a3957194f2130f1a6e407c789a15e7517beb633fcd9e17abdeec3d2a02754f7e384c16a937d66b2a0b2f11728efe0471583bf30dce388d1a5f1a8e790cc96346fec381c4f0adb2c65e7a38ac454f4a7ecd4e3b80211831bed8662a4d9434e501474b47d7f853926f6334b9f6d226077338dd3150f75ed2ee2374862c64822443012bcddb062609fbc7fc7dc57b28f380a966faab2c929aaaa15909c35e9586a8bba5ec26cd6,(628) 234-3009,Automotive,"SPECTRUM AUTOMOTIVE in SAN RAFAEL, California are Auto Repair specialists offering professional and quality auto repair. We'll get you back on the road FAST. Locally owned and operated. Free Estimates. Servicing most domestic and foreign cars. Air Conditioning & Heating, Steering & Suspension Systems, Engine Service, Brake Service, Transmission & Drive Train Services, Cooling Systems and much more.",[],,
RST Automotive,"37473 Glenmoor Dr Fremont, CA 94536",https://apis.elocal.com/tracker/track?q=5f215774b4392637ed1f162d8504a974a9b7fc00fa794439f875437814039038b74c59ea478bd21dfbe8342ad02f869bd18e03c9233637af880bed70b9b6a68a61463b4f2a6cd27fe66d8ed694551022202ae982266ffb98a1bb8e3d19cc30a2dde2f9c63d2bbec5db3a6497ca9da0cc6be0d150f6e372aeccdcb5509f2e66509bb6b2a9d2f59279849857b76c92fcbb7d22b5608abc1a6a0ca018b36d21a58898bb37737cb76a89b66e4405a37feb8231f653379699f8af5c5f7eaef7aa8f38bcbdacb9753e2ad3ceb73c9b1133ee8edd9c71a46962821f72cb5d99f4501b2370ea21217649189c61e8b7899b4ca91b79f3e99dcb04169f8a395876cc283e7744eef00444885d79df575148ab14b3ffdba467fa92adea88f011b49efe83f8ed6b31127e7f4bfe8fae0cde2b257d0aaed88dc032d53e4d5e50e4d076358de6f1ce7348592c0f0d18a0184fa045e007ce2d5e32ce81f71004c958b1655e52b016ee916365973ffcc20f53e219882025fbd85624553899d44556a4b6862ed2c736d7d5aa5702b3de4a9df8444697df4a7824bfd874eb149b9b0736a5bf232444f8b0837a75edf93897fdeb22aae1ae81a7b496fb4d0a1393e1d30c38d21b4508858916c93e8a453c620d53038f8583e39892e1624b552e075ae70ece8a52f024c0bc917161fa23466e623bd686069288f23406524776011f281b401ad5ec1b47d2f11438e2b1aa575497cdb639f6fc2d36e2a1d62aa9ca65456bab59aef3e0afb0a96035a9c03c264fe5046f1311b119a9bf9c97472d1357bec86e8f1499fa43c13b63e10ab1fd203e5027b75afdabba63b4181eb396a5f6d4296450a72eb5bb320cd1fd6c80ab90df6796a3d1c55dba9c702a04a1f090159380e84440181d095ad096f2f4669f7c75b79f8c982b76a9215468159781d2b0bfe43d3eebb5827753bfbd32cb83f88338b28b175c9a914ebb,(510) 737-0360,Automotive,"<p>We do all major and minor tune-ups, custom engine rebuilds, transmission and clutch repairs, four-wheel drive specialists, electrical diagnostics and repairs, general maintenance, brake service, smog inspections and repairs, and computer diagnostics for all makes and models, new and old. We use ACDelco products, Mobile One, Monroe and all our technicians are ASE certified.  </p> <p>We work on classic cars, hot rods, domestics, imports, and Motorhomes. On Motorhomes we service engines, transmission, brakes, suspension and all drivetrain components. With over 30 years of continued training for our top technicians, we have a wealth of knowledge for your car needs. Please check us out in the Centerville district of Fremont.    </p>",[],,
Britton's Automotive,"17242 Gothard St Ste C Huntington Beach, CA 92647",https://apis.elocal.com/tracker/track?q=0f0d51a5343025dd2e0bfd3523a6be7a067257f15aec2a2289dd204f4b146d6a495d75bf8950fa85f5933ef46dad5e2d9f85b3ff2b40b48136fc7c0fea52bb5dd8073f7070d10b79de833775911da38720a002cfa02be948b421b04ae3016c55db25116a985e5a6dab4f9d7c3de4d90165a270ee34e6607d0f866c9ba5bf17e7afd4e964c42f2fde588e97062be5ef9f051c168f4ebfb631b93c5a806b2e9f7b5192e1116db232cbba22368e2b97b0fd65919951104f53e6d50ef495c7fdee1ef44998e016e8cf26baca2c89aa19619ad1b8e7e5f3e5de3290a794d8090c2466a5ac52169e9bed0a32897ca1fe57c401cbe90a7f2cfd0b116cb803f188ec1ca7986de28e3581b5a3af1e44c15fd7118f956d86b0167a1b9fda69dbd4c9dd7345adc16a2fdeae8e52acf7df84dc5218e5bfa504d67fdf712203337a5b3928aed084d8d5d80b6f75ecf97fccefb738525c8cd6566f452d9841194fc20b2c84bd4239865a7bab84348b72fa623e8b8cbabee4e71695676b6324126b5df9ab340b1f2b90eb373af886f82b8eb03e4dca8ef9d2ebae4812a16074ab3b7707e327662a0dbeec54383e385a45dd521ba957a7918ad16a93c0cdde42bf73fcd1469ce0be6ef9288762222493f197d1b730ca4b03a8e96cf645bc69f6e06fe123798f7816ae04c3dcb9f2245846ddff68ed1e0382992f16bd6fa27a1de2d25c04d244c5d23cebd60c3b8b87da14ed3ad2f2b2dcc9c3863a59eedac432b19ba6b7c21b3bb16658a8d1d5d8c2547aa9fad0c565dd68f212bd38c4c145b5ab9ea60736c4058a60e599bd0ce0ae7b770c32868c33af5708e1a4ca171e6ae763a70dabbee8b472b1982dd7234491e08a5387639975e3c01dcd9747915d117cbd218b28a002671cd6e1dfa347278f4916c76a7ecd15ec7a6c9d2a1930d2d1386160cdbbb81e0e19184124d261fec4f06c94056461b349a3,(657) 215-9168,Automotive,"Britton's Automotive is a family owned and operated business for over 31 years. We take pride in giving all our customers women and men alike the highest level of personalized service and ethical prices. We provide you with Complete Auto Repairs, Mechanical Repairs, Electrical Work, Air Conditioning & Transmission Repairs and many other repair and maintenance services. We are your best bet for all auto repair needs in the Huntington Beach, California and the surrounding area. We are certified and licensed to perform almost all auto, truck, and SUV repairs and thorough maintenance from bumper to bumper. Our highly trained technicians have been providing preventative maintenance on all makes and models for over 31 years.",['1diverbruce@gmail.com'],,
Starr Automotive,"8350 Highway 128 Philo, CA 95466",,(707) 895-2425,Automotive,"Towing & Wrecking, Automotive Repair",[],,
Best Automotive,"20045 Roscoe Blvd Canoga Park, CA 91306",,(818) 886-1239,Automotive,"Automotive Repair, Wholesale Diesel Fuel",[],,
Archies Automotive,"17415 Catalpa St Ste 28 Hesperia, CA 92345",,(760) 949-9643,Automotive,"Oil Changes, Automotive Repair",[],,
Espinoza Automotive,"24300 Sunnymead Blvd Ste 102 Moreno Valley, CA 92553",,(951) 924-4159,Automotive,"Discover Accepted, Auto Parts & Accessories, Visa Accepted, American Express Accepted, Automotive Repair, Mastercard Accepted",[],Business Hours: Mon. - Sat. 7am - 5pm;Sun. CLOSED,
Jr's Automotive,"4580 Greenstone Rd Placerville, CA 95667",,(530) 344-1600,Automotive,"Transmission Repair, Brake Repair, Automotive Repair, Wholesale Automotive, Other Electrical Equipment Manufacturers, Wholesale Diesel Engines, Heating & Air Conditioning",[],Business Hours: Mon-Fri 8am-5pm,
Universal Automotive,"1220 1st St Gilroy, CA 95020",,(408) 848-4442,Automotive,"Automotive Repair, Wholesale Abdominal Supports",[],,
Universal Automotive,"3621 Stockdale Hwy Bakersfield, CA 93309",,(661) 397-0488,Automotive,"Automotive Repair, Towing & Wrecking",[],,
Automotive Specialties,"845 Nevada St Auburn, CA 95603",,(530) 885-5558,Automotive,"Automotive Repair, Electrical Contractors, Auto Parts & Accessories, RV Repair, Brake Repair",[],,
Mastercare Automotive,"4345 Twain Ave San Diego, CA 92120",,(619) 255-1784,Automotive,"Automotive Repair, Brake Repair",[],,
Dimas Automotive,"1020 Railroad Ave Novato, CA 94945",,(415) 761-9988,Automotive,Automotive Repair,[],,
Bj's Automotive,"23551 Commerce Center Dr Ste A Laguna Hills, CA 92653",,(949) 768-7877,Automotive,Automotive Repair,[],,
Leadfoot Automotive,"41060 High St Ste A Fremont, CA 94538",,(510) 279-8055,Automotive,"Oil Changes, Brake Repair, Automotive Repair, Transmission Repair, Mufflers & Exhaust Manufacturers",[],Business Hours: Mon-Fri 8:30am-5:30pm,
Marks Automotive,"3831 Buck Owens Blvd Bakersfield, CA 93308",,(661) 325-9029,Automotive,"Visa Accepted, Auto Diagnostics, Tires & Wheels, Auto Parts & Accessories, Discover Accepted, Mastercard Accepted, Automotive Repair, Brake Repair",[],Business Hours: Mon. - Fri. 8am - 5pm;Sat. - Sun. CLOSED,
Hoyt Automotive,"7744 Greenleaf Ave Whittier, CA 90602",,(562) 945-5443,Automotive,Automotive Repair,[],,
Automotive Technology,"24411 Main St Newhall, CA 91321",,(661) 255-6913,Automotive,Automotive Repair,[],,
Exeter Automotive,"120 N G St Exeter, CA 93221",,(559) 592-5133,Automotive,Automotive Repair,[],,
Automotive Remedies,"8280 Clairemont Mesa Blvd Ste 145 San Diego, CA 92111",,(858) 874-2585,Automotive,"Auto Diagnostics, Transmission Repair, Automotive Repair, Manufacturers, Wholesale Automotive, Oil Changes, Brake Repair, Air Conditioning Repair, Tune Ups, Engine Repair",[],Business Hours: Mon-Fri 8am-5pm,
2M Automotive,"255 Myrtle Rd Burlingame, CA 94010",,(650) 401-6720,Automotive,"Brake Repair, Radiator Repair, Tune Ups, Transmission Repair, Automotive Repair, Engine Repair, Clutch Repair",[],Business Hours: Mon-Fri: 8:30am-5pm,
Slepicka Automotive,"1600 E Cypress Ave Redding, CA 96002",,(530) 222-5770,Automotive,Automotive Repair,[],,
Galaxy Automotive,"6726 Reseda Blvd Reseda, CA 91335",,(818) 578-6191,Automotive,"Automotive Repair, Used Car Dealers",[],,
Quality Automotive,"3740 Grass Valley Hwy Ste 1 Auburn, CA 95602",,(530) 885-5100,Automotive,"Diesel Fuel, Oil Changes, Automotive Repair, Repair Shops, Business Consultants, Information & Referral Services, Automotive Sales & Services, Radiator Repair, New Car Dealers, Clutch Repair, Transmission Repair, Truck Repair, Brake Repair",[],"Business Hours: Mon-Fri 8:00 AM-5:00 PM,Sat-Sun Closed",
Roneau Automotive,"3537 Kiessig Ave Sacramento, CA 95823",,(916) 422-2334,Automotive,Automotive Repair,[],,
Xtsy Automotive,"12025 Florence Ave Santa Fe Springs, CA 90670",,(562) 777-7779,Automotive,Automotive Repair,[],,
